name,lat,long
Kubaheri,30.87729,76.67323
Kurali,30.83061,76.58182
K.V. School- 29,30.71146,76.79731
K.V. School-31,30.70432,76.77958
Lake Chowk,30.7408,76.80771
Lake mod,30.74956,76.80588
Lakhnaur,30.69476,76.68441
Lakhnaur (DC Office Mohali),30.69387,76.69042
Landran (Down),30.69139,76.66531
Landran (Up),30.69061,76.66342
"LIBRARY NEAR GOVT Sr Sec SCHOOL, DADUMAJRA COLONY",30.75593,76.73915
Lohgarh,30.64437,76.80773
"LOHIA INTERNATIONAL SCHOOL, MANIMAJRA",30.71025,76.83182
Madanpur 32 (Down),30.66552,76.89038
Madanpur 32 (Up),30.66554,76.88979
Madanpur (Down),30.7171,76.72338
Madanpur (Up),30.71809,76.72481
Majra/Siswan T/P,30.84587,76.72057
Majri Chowk,30.69965,76.87275
Maloya,30.7522,76.7176
Maloya Mod/Anaj Mandi Towards Maloya,30.74662,76.72703
Maloya Mod/Anaj Mandi Towards Water Works,30.74701,76.7271
ManakPur/Sangatpura,30.84883,76.68416
Manauli,30.64243,76.7236
Manav International School,30.64585,76.74016
Mani Majra,30.71343,76.84331
Mani Majra Fun Republic,30.71211,76.84389
Mani Majra Fun Republic(UP),30.71421,76.84435
ManiMajra Outer,30.71534,76.84473
Mani Majra Town,30.71971,76.82995
Mansa Devi Complex,30.72067,76.85274
Mata Mansa Devi,30.72377,76.85816
Mauli Jagran,30.68816,76.82378
Mauli Nabi,30.67316,76.72634
"MCM COLLEGE FOR WOMEN, SECTOR 36",30.73474,76.75717
"MDAV HIGH SCHOOL, SECTOR-22A, CHANDIGARH",30.73693,76.77244
MedCity Light,30.8139,76.73884
Mianpur,30.94474,76.53368
Milk Colony Towards Barrier,30.76472,76.74688
Milk Colony Towards Depot 3,30.76521,76.74723
Mini Park,30.73517,76.76675
Mini Secretariat (Down),30.75188,76.79404
Mini Secretariat (Up),30.75087,76.79264
MLA flat chowk,30.75594,76.80057
MLA Flats (Down),30.75522,76.79943
MLA Flats (Up),30.7547,76.79857
Modern Complex,30.71616,76.83102
Moginanad/Sector 25 (Down),30.67221,76.89018
Moginanad/Sector 25 (Up),30.67188,76.88983
